GIDBG,State_name,County,Tract,Block_group,LAND_AREA,Pop_5yrs_Over_ACS_13_17,Othr_Lang_ACS_13_17,ENG_VW_SPAN_ACS_13_17,ENG_VW_INDO_EURO_ACS_13_17,ENG_VW_API_ACS_13_17,ENG_VW_OTHER_ACS_13_17,ENG_VW_ACS_13_17,pct_Hispanic_CEN_2010,pct_Hispanic_ACS_13_17,pct_ENG_VW_SPAN_ACS_13_17,pct_ENG_VW_INDOEURO_ACS_13_17,pct_ENG_VW_API_ACS_13_17,pct_ENG_VW_OTHER_ACS_13_17,pct_ENG_VW_ACS_13_17
110010024004,District of Columbia,001,002400,4,0.052,856,96,0,0,0,0,0,16.06,11.47,0,0,0,0,0
110010025011,District of Columbia,001,002501,1,0.122,1309,554,85,32,0,50,167,25.09,39.83,14.33,5.4,0,8.43,28.16
110010025012,District of Columbia,001,002501,2,0.088,1662,421,36,0,0,12,48,21.41,19.07,7.35,0,0,2.45,9.8
110010025021,District of Columbia,001,002502,1,0.055,1090,458,0,0,0,0,0,33.91,46.68,0,0,0,0,0
110010025022,District of Columbia,001,002502,2,0.058,1756,505,42,0,0,0,42,26.02,30.89,5.53,0,0,0,5.53
110010025023,District of Columbia,001,002502,3,0.058,1394,555,14,0,0,0,14,38.83,39.69,3.93,0,0,0,3.93
110010025024,District of Columbia,001,002502,4,0.062,1661,542,116,0,0,0,116,59.05,27.56,13.36,0,0,0,13.36
110010026001,District of Columbia,001,002600,1,0.311,1046,174,14,0,0,0,14,9.38,12.89,2.99,0,0,0,2.99
110010026002,District of Columbia,001,002600,2,0.505,1305,207,4,0,14,0,18,5.01,3.82,0.84,0,2.94,0,3.77
110010027011,District of Columbia,001,002701,1,0.014,684,180,0,0,0,0,0,12.48,12.89,0,0,0,0,0
110010027012,District of Columbia,001,002701,2,0.049,1611,342,43,0,0,0,43,16.28,21.46,5.29,0,0,0,5.29
110010027013,District of Columbia,001,002701,3,0.089,1063,311,0,0,0,0,0,9.3,3.37,0,0,0,0,0
110010027014,District of Columbia,001,002701,4,0.022,2114,1207,129,0,0,13,142,42.15,53.48,12.03,0,0,1.21,13.25
110010027021,District of Columbia,001,002702,1,0.03,1303,774,56,0,0,43,99,50.81,44.75,8,0,0,6.14,14.14
110010027022,District of Columbia,001,002702,2,0.074,2985,792,90,0,0,0,90,14.91,17.5,7.63,0,0,0,7.63
110010027023,District of Columbia,001,002702,3,0.084,1540,464,0,0,0,0,0,10.99,23.01,0,0,0,0,0
110010028011,District of Columbia,001,002801,1,0.026,1375,309,46,12,0,11,69,21.68,16.6,6.48,1.69,0,1.55,9.72
110010028012,District of Columbia,001,002801,2,0.041,2478,1252,217,37,0,85,339,44.66,39.94,23.72,4.04,0,9.29,37.05
110010028021,District of Columbia,001,002802,1,0.035,2580,1177,145,9,23,39,216,42.89,36.43,10.9,0.68,1.73,2.93,16.24
110010028022,District of Columbia,001,002802,2,0.054,1764,809,166,8,28,0,202,43.34,51.8,22.05,1.06,3.72,0,26.83
110010029001,District of Columbia,001,002900,1,0.051,1791,509,49,0,0,0,49,27.91,23.26,7.88,0,0,0,7.88
110010029002,District of Columbia,001,002900,2,0.066,2467,900,120,0,0,0,120,40.14,34.28,12.61,0,0,0,12.61
110010030001,District of Columbia,001,003000,1,0.044,1640,458,54,0,0,0,54,18.63,19.07,7.01,0,0,0,7.01
110010030002,District of Columbia,001,003000,2,0.037,1494,177,9,0,0,24,33,13.13,13.62,1.35,0,0,3.61,4.96
110010031001,District of Columbia,001,003100,1,0.114,3228,1384,155,14,0,25,194,35.94,33.42,12.55,1.13,0,2.02,15.71
110010032001,District of Columbia,001,003200,1,0.038,897,324,53,0,0,0,53,16.98,31.32,16.21,0,0,0,16.21
110010032002,District of Columbia,001,003200,2,0.037,755,158,9,0,0,0,9,27.11,22.72,2.88,0,0,0,2.88
110010032003,District of Columbia,001,003200,3,0.049,1626,390,0,0,29,10,39,27.29,25.58,0,0,5.24,1.81,7.05
110010032004,District of Columbia,001,003200,4,0.047,1366,350,37,0,0,17,54,24.23,17.84,8.81,0,0,4.05,12.86
110010033011,District of Columbia,001,003301,1,0.096,1523,188,0,0,0,0,0,3.04,5.59,0,0,0,0,0
110010033012,District of Columbia,001,003301,2,0.041,1262,147,0,0,0,0,0,5.14,6.37,0,0,0,0,0
