GIDBG,State,State_name,County,County_name,Tract,Block_group,Flag,LAND_AREA,AIAN_LAND,URBANIZED_AREA_POP_CEN_2010,URBAN_CLUSTER_POP_CEN_2010,RURAL_POP_CEN_2010,Tot_Population_CEN_2010,Tot_Population_ACS_13_17,Pop_18_24_ACS_13_17,Pop_25_44_ACS_13_17,Pop_45_64_ACS_13_17,Pop_65plus_ACS_13_17,Hispanic_ACS_13_17,NH_White_alone_ACS_13_17,NH_Blk_alone_ACS_13_17,NH_AIAN_alone_ACS_13_17,NH_Asian_alone_ACS_13_17,Pop_5yrs_Over_ACS_13_17,Othr_Lang_ACS_13_17,ENG_VW_SPAN_ACS_13_17,ENG_VW_INDO_EURO_ACS_13_17,ENG_VW_API_ACS_13_17,ENG_VW_OTHER_ACS_13_17,ENG_VW_ACS_13_17,Mail_Return_Rate_CEN_2010,Low_Response_Score,pct_Pop_18_24_ACS_13_17,pct_Pop_25_44_ACS_13_17,pct_Pop_45_64_ACS_13_17,pct_Pop_65plus_ACS_13_17,pct_Hispanic_CEN_2010,pct_Hispanic_ACS_13_17,pct_NH_White_alone_CEN_2010,pct_NH_White_alone_ACS_13_17,pct_NH_Blk_alone_CEN_2010,pct_NH_Blk_alone_ACS_13_17,pct_NH_AIAN_alone_CEN_2010,pct_NH_AIAN_alone_ACS_13_17,pct_NH_Asian_alone_CEN_2010,pct_NH_Asian_alone_ACS_13_17,pct_NH_NHOPI_alone_CEN_2010,pct_NH_NHOPI_alone_ACS_13_17,pct_NH_SOR_alone_CEN_2010,pct_NH_SOR_alone_ACS_13_17,pct_ENG_VW_SPAN_ACS_13_17,pct_ENG_VW_INDOEURO_ACS_13_17,pct_ENG_VW_API_ACS_13_17,pct_ENG_VW_OTHER_ACS_13_17,pct_ENG_VW_ACS_13_17
110010099052,11,District of Columbia,001,District of Columbia,009905,2,,0.055,0,706,0,0,706,898,83,246,252,126,0,0,842,0,0,845,0,0,0,0,0,0,85.2,26.9,9.24,27.39,28.06,14.03,1.56,0,0.85,0,96.88,93.76,0,0,0,0,0,0,0.14,1.56,0,0,0,0,0
110010099053,11,District of Columbia,001,District of Columbia,009905,3,,0.04,0,877,0,0,877,970,185,100,269,28,0,1,969,0,0,822,68,22,0,0,0,22,67.9,39.2,19.07,10.31,27.73,2.89,2.05,0,0.8,0.1,93.84,99.9,0.46,0,0,0,0.23,0,0,0,6.49,0,0,0,6.49
110010099061,11,District of Columbia,001,District of Columbia,009906,1,,0.096,0,1296,0,0,1296,1623,153,533,434,178,32,2,1555,0,8,1551,105,7,0,0,0,7,73.3,30.5,9.43,32.84,26.74,10.97,2.39,1.97,0.62,0.12,94.68,95.81,0.08,0,0.23,0.49,0,0,0,0,0.96,0,0,0,0.96
110010099071,11,District of Columbia,001,District of Columbia,009907,1,,0.054,0,935,0,0,935,522,26,232,121,85,0,0,510,0,0,522,0,0,0,0,0,0,75.3,26.4,4.98,44.44,23.18,16.28,1.07,0,0.21,0,96.58,97.7,0.32,0,0.11,0,0,0,0,0,0,0,0,0,0
110010099072,11,District of Columbia,001,District of Columbia,009907,2,,0.126,0,1901,0,0,1901,2251,343,610,503,123,0,0,2251,0,0,2134,0,0,0,0,0,0,69.4,36.6,15.24,27.1,22.35,5.46,1.05,0,0.42,0,96.95,100,0,0,0.26,0,0.05,0,0,0,0,0,0,0,0
110010101001,11,District of Columbia,001,District of Columbia,010100,1,,0.152,0,1944,0,0,1944,2058,207,1094,349,259,165,1332,304,0,183,1955,525,0,35,0,0,35,79.9,25,10.06,53.16,16.96,12.59,9.83,8.02,63.17,64.72,15.69,14.77,0.1,0,8.54,8.89,0.1,0,0.26,2.09,0,2.72,0,0,2.72
110010101002,11,District of Columbia,001,District of Columbia,010100,2,,0.072,0,677,0,0,677,803,65,440,173,100,113,418,59,0,205,803,304,6,0,0,0,6,76.7,22,8.09,54.79,21.54,12.45,15.81,14.07,36.78,52.05,11.23,7.35,0.3,0,31.91,25.53,0,0,1.33,0,1.07,0,0,0,1.07
110010102001,11,District of Columbia,001,District of Columbia,010200,1,,0.134,0,947,0,0,947,1212,48,425,267,332,97,467,551,15,13,1157,170,0,0,0,0,0,85.2,20,3.96,35.07,22.03,27.39,5.07,8,46.78,38.53,39.49,45.46,0.21,1.24,4.96,1.07,0,0,0.11,0,0,0,0,0,0
110010102002,11,District of Columbia,001,District of Columbia,010200,2,,0.345,0,1377,0,0,1377,1533,91,847,294,160,90,685,574,25,111,1448,278,15,0,8,0,23,77.5,23.6,5.94,55.25,19.18,10.44,6.54,5.87,44.59,44.68,38.2,37.44,0.22,1.63,5.16,7.24,0.07,0,0.51,0,1.76,0,0.94,0,2.69
110010103001,11,District of Columbia,001,District of Columbia,010300,1,,0.226,0,943,0,0,943,939,83,330,225,87,199,277,384,0,42,865,273,31,0,0,0,31,81.9,24.5,8.84,35.14,23.96,9.27,10.5,21.19,32.66,29.5,49.73,40.89,0.85,0,2.76,4.47,0.11,0,0.21,0,10.26,0,0,0,10.26
110010103002,11,District of Columbia,001,District of Columbia,010300,2,,0.092,0,1137,0,0,1137,1190,11,466,244,226,355,81,725,0,8,1137,437,16,0,0,0,16,80.8,19.9,0.92,39.16,20.5,18.99,16.53,29.83,7.21,6.81,70.62,60.92,0.35,0,2.46,0.67,0,0,0.88,0,3.29,0,0,0,3.29
110010103003,11,District of Columbia,001,District of Columbia,010300,3,,0.099,0,1107,0,0,1107,1386,77,441,493,215,457,232,673,0,18,1359,598,19,0,0,32,51,76.6,19.6,5.56,31.82,35.57,15.51,21.68,32.97,19.51,16.74,54.2,48.56,0.45,0,1.08,1.3,0.18,0,0.18,0,4.11,0,0,6.93,11.04
110010104001,11,District of Columbia,001,District of Columbia,010400,1,,0.223,0,1324,0,0,1324,1530,206,397,309,129,121,138,1248,0,0,1386,21,0,0,0,0,0,72.2,32.3,13.46,25.95,20.2,8.43,1.81,7.91,1.96,9.02,94.71,81.57,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0
110010104002,11,District of Columbia,001,District of Columbia,010400,2,,0.833,0,3041,0,0,3041,3095,303,858,851,381,46,139,2901,0,0,3061,137,0,0,0,0,0,67.4,30.6,9.79,27.72,27.5,12.31,2.01,1.49,2.6,4.49,93,93.73,0.16,0,0.33,0,0.03,0,0,0,0,0,0,0,0
